Model_type,Window_size,Movement,Algorithm,Dataset_size,Features,RMSE,R2,RMSE2,R22
LOR,10,3,6,4446,32,8.68234440454481,0.362350270764701,7.87367533242032,0.452597466914708
LOR,20,7,6,1710,36,8.31194431015111,0.435012308519084,8.40363973866196,0.438546704197939
LOR,10,10,5,2115,31,8.56732653977227,0.370668478114303,8.19244646694364,0.435663999146878
LOR,20,7,3,3056,42,9.39820343599454,0.436045675907333,9.62981569369262,0.430487149070679
LOR,20,1,3,21169,41,9.22293650297714,0.463325591779457,9.33858386502838,0.430159473522775
LOR,10,3,3,4464,29,10.0535919016389,0.369786062109868,9.44457671081705,0.424430559687099
LOR,10,10,2,1051,33,9.49178418949318,0.38447487419261,8.41455688347402,0.423301628311201
LOR,5,2,5,7943,29,11.6824850645245,0.353828921885805,11.3500098332838,0.406244642329708
LOR,10,1,3,13354,42,9.75060817924824,0.401591748486314,10.0258359348319,0.401858660628217
LOR,10,1,2,10751,42,9.55379617310142,0.390213925529523,9.65700390025607,0.400147786602138
LOR,10,3,2,3517,32,9.61024902177079,0.379052918754054,9.330800674719,0.393901888830003
LOR,20,7,4,634,29,11.6304629418118,0.532817636438248,13.2332092591672,0.39309280302155
LOR,5,1,4,10878,37,13.847170100838,0.376601570665469,13.7555147302991,0.392293884690153
LOR,10,1,4,8187,42,10.9802730144236,0.422559409556594,11.1507186285759,0.389282893172949
LOR,10,1,6,13617,42,8.57959977430907,0.379332154841205,8.86004010547505,0.38621683284864
LOR,5,5,2,1594,27,12.190123958529,0.341080829882655,11.1012460816819,0.385643374757457
LOR,20,20,3,1085,"27,26",8.87287315936269,0.468758385074503,11.301584760009,0.384912719668164
LOR,20,20,4,233,15,11.6889320326626,0.432308088408518,14.8113280723792,0.382288339421034
LOR,10,3,5,7524,34,8.6920530899664,0.357872013136496,8.58356768948362,0.381965401321523
LOR,5,1,3,10989,39,13.7619742285315,0.376946334187362,13.9741855265848,0.378779023563035
LOR,10,5,2,2110,42,9.55254403424118,0.387832371007146,9.12370476393752,0.376971002483238
LOR,10,5,5,4257,41,8.4835316916654,0.388038078122404,9.05811360576427,0.372578520326771
LOR,5,3,1,2201,27,11.6905850535785,0.363743841432208,10.7930613798765,0.368935171965402
LOR,5,1,2,7984,31,11.8515648337919,0.365122326518678,11.527728334743,0.367699034400369
LOR,10,1,5,22005,42,8.57146789920618,0.382564496152774,8.68866344503134,0.367194953724864
